trial,pairs_cond_entropy,singles_cond_entropy,full_singles_cond_entropy,difference,pairs_better_than_sampled,pairs_better_than_full,pairs_features,singles_features
CONFIG,k=8,n_samples=1000,-0.0,H(Y)=0.4442,features=19962,trials=100,KRTAP13-4|CILP2|MSRB3|DARS2|LAMP5|MFN2|CSN2|CD9,FULL_DATA_SINGLES_FEATURES
60,0.0099,0.0099,-0.0,0.0,False,False,ZBTB4|SLC44A4|FOXP3|FAM124A|COMMD7|ENAH|ANGPTL3|TEX29,WSCD2|FOXP3|SLC44A4|BTNL9|LBX2|ADGRG3|ENAH|HAUS1
61,0.0079,0.0135,-0.0,-0.005599999999999999,True,False,RECK|COL1A2|HDGF|ACAA2|ORAI2|ARF4|NMRK2|PABPC3,HIF3A|HDGF|ACAA2|ORAI2|ARF4|DNAJB4|COL1A2|VPS26A
62,0.016,0.025,-0.0,-0.009000000000000001,True,False,RUNX2|FLRT2|ROGDI|GSTM2|RTN1|TMEM244|ATP13A2|AC008397.1,HOXA9|RUNX2|PRR19|NMNAT2|GSTM2|DNAAF3|RTN1|TMEM244
63,0.0114,0.0155,-0.0,-0.0040999999999999995,True,False,CCN4|ARHGAP20|MTARC2|TPRN|AURKA|CRHBP|RIMS1|ABHD3,HIF3A|CCN4|ARHGAP20|WDR62|CBX4|TEF|MRAP|PPM1B
64,0.0186,0.0138,-0.0,0.004799999999999999,False,False,FERMT2|ADAMTS14|CA12|AGTR1|MMP3|COX6C|NLRX1|AHNAK2,KRTAP13-4|ZMYND10|AGTR1|PCDH17|CDC37L1|RHPN1|EMP2|FUCA1
65,0.0141,0.0114,-0.0,0.0026999999999999993,False,False,SPARCL1|C3orf80|EHBP1|NUP210|COMP|AC009779.3|SELENON|TUBB6,IBSP|MRPS34|MROH8|NUP210|PLPP4|HCN2|KCNA5|UGT1A1
66,0.0102,0.0178,-0.0,-0.007599999999999999,True,False,VCAN|MSRB3|PFDN2|ABCB8|MYRFL|AADACL2|PPP1R36|C3orf80,GRAMD1A|LTBP4|C3orf80|SEMA6D|CST1|MAP1LC3C|SELENOT|LIMD1
67,0.0111,0.0102,-0.0,0.0008999999999999998,False,False,GAS1|BGN|CD34|IRF7|CA12|SNRPE|FRS3|KLRF1,SCN4A|CILP2|GAS1|ERCC6L|CA12|TYRO3|VPS33A|STRIT1
69,0.0069,0.0153,-0.0,-0.0084,True,False,CCN4|MRGPRF|PLD1|NUF2|MLXIPL|ZNF467|ACKR3|BLOC1S2,CAPN6|CCN4|NDNF|SEMA3F|GARS1|PLD1|NUDT19|SCNN1B
70,0.0176,0.0132,-0.0,0.004400000000000001,False,False,LRP1|COL5A1|DEGS2|UBE2C|PLXNA3|ACSS2|PHGDH|KDELR2,MAMLD1|PLXNA3|THRA|KDELR2|DEGS2|JPT1|CRHBP|FAM53B
68,0.0147,0.0094,-0.0,0.005299999999999999,False,False,LIMS2|BGN|VOPP1|ALDH1A1|MED25|C1QTNF9|METTL22|HOOK1,SCN4A|CILP2|LRIG3|CACYBP|GPR160|KLF14|H3Y1|HOMER3
71,0.0148,0.0176,-0.0,-0.0028000000000000004,True,False,VCAN|ANGPTL2|LIFR|MUC1|NUDT5|MAB21L4|HDAC4|PLXNA3,KRTAP13-4|ZNF672|SAV1|CAPZA1|PLXNA3|NRBP2|UBALD1|PBX2
72,0.0129,0.024,-0.0,-0.0111,True,False,LMOD1|ZNF668|AGTR1|SLC44A4|KALRN|F2RL2|DDX24|DNLZ,MRPS34|ANLN|NAT1|TMEM47|F2RL2|SOX7|PLPPR2|UGT1A1
73,0.0072,0.0139,-0.0,-0.006699999999999999,True,False,FEZ1|BGN|PSPH|ATOX1|LTBP4|ACTG1|ATP23|SLC16A5,LRRC3B|BGN|FEZ1|PSPH|ABCF3|ACSL3|ZNF653|SAMD8
74,0.0147,0.0176,-0.0,-0.0029000000000000015,True,False,IL21R|ALDH1A1|GTF3C1|APOL3|PGM1|ERH|DRD4|MFSD11,TFPI|IL21R|APOL3|GTF3C1|NANS|NANOS1|GUF1|INAFM1
78,0.0151,0.0191,-0.0,-0.003999999999999998,True,False,FERMT2|FN1|FAM83D|MATN3|CYSTM1|MCRIP2|SLC9A3|CDH6,MMP11|FERMT2|FN1|MATN3|PRR19|KIAA0408|CCM2L|CYSTM1
75,0.0155,0.0161,-0.0,-0.0005999999999999998,True,False,CORO2B|SLC24A2|TBL2|MAGI2|HOXC11|RASL10B|IGFLR1|HOXD8,ALG1|CBX7|HTR1D|VAMP3|KIF26B|RBPMS|SLC16A7|C12orf65
76,0.0106,0.0171,-0.0,-0.006500000000000001,True,False,P4HA3|SPARCL1|GRAMD1A|GRIA3|SGPL1|TK2|TNFRSF9|EPB42,HIF3A|B4GALT3|C22orf39|GRAMD1A|P4HA3|MYCT1|IL12B|BCL2L2-PABPN1
77,0.0107,0.0153,-0.0,-0.0046,True,False,SLC24A2|TCEAL7|RRM2|ZNF467|DAPK2|R3HDM4|RPL36|MT-ND2,COL11A1|FLRT2|ZNF467|IL21R|DAPK2|TEAD4|TMEM37|PSG2
79,0.0069,0.0197,-0.0,-0.012799999999999999,True,False,LRRC15|SLIT3|EIF4E3|HSH2D|DAPK2|ARHGAP39|TPO|HS3ST6,MEOX1|FOXP3|GATA3|EIF4E3|LRRC15|MAF|ESYT1|DAPK2
80,0.016,0.0319,-0.0,-0.015899999999999997,True,False,RUNX1T1|COL5A1|HADHA|CAPZA1|EHBP1|KCNH1|DRP2|PNMA6A,BAK1|FOXC1|SALL4|APCDD1|FOXS1|RTN1|SULF2|BPNT1
81,0.0067,0.0187,-0.0,-0.012,True,False,CDH11|MSRB3|UBE2Q1|SMIM22|ACAT1|RTN4RL2|MED24|TGIF2,FHL1|CDH11|MSRB3|PRCC|PGM1|RTN4RL2|H2BC13|ZMPSTE24
82,0.0126,0.0218,-0.0,-0.0092,True,False,CST2|MAB21L1|IGSF9|NYAP1|DHRS12|GABRD|NCOA3|DENND2D,DPP6|CST2|FAM83D|CAT|IGSF9|AL139353.1|GPR65|CCN5
83,0.0092,0.0175,-0.0,-0.008300000000000002,True,False,SEMA3D|CTHRC1|CRY2|MUC1|TMC4|LMNB2|SIKE1|IL2RG,ATP1A2|TSPAN13|LOXL1|OR2B6|TMEM145|GPATCH11|CYFIP2|HCN1
85,0.0136,0.018,-0.0,-0.004399999999999999,True,False,CALCOCO1|ANXA9|KIF22|ENTHD1|SLC22A12|CCDC69|SLC28A1|PPM1L,PTPN21|C11orf24|ANXA9|NOVA1|NAA60|SKA2|ENTHD1|CRY2
84,0.0116,0.027,-0.0,-0.0154,True,False,INHBA|PRKD1|PRDX4|CBX4|MUC1|SOGA3|ACRV1|GATA2,MMP11|PRKD1|INHBA|GPAA1|CBX4|ADM2|THRA|RADIL
86,0.0103,0.0181,-0.0,-0.007800000000000001,True,False,SLC24A2|MAMDC2|DDX39A|DOP1B|ADGRA2|TNR|RNF157|SDHAF3,DPP6|SLC24A2|DDX39A|DSEL|IL11RA|SHISA4|DOP1B|KRIT1
87,0.0227,0.0306,-0.0,-0.007899999999999997,True,False,LETMD1|RMND5B|GHR|PHTF1|TLE6|CHRNB1|ABHD5|PNMA6A,ADCYAP1R1|OLFML2B|GRAMD1A|AMOTL2|TPD52|HSD17B6|PNMA6A|NDUFS4
88,0.0138,0.0254,-0.0,-0.0116,True,False,SYNDIG1|PARVA|SLC20A1|EBF1|SUCO|SEC14L5|ZNRD2|MICA,LRRC3B|SMIM22|SALL4|SEC14L5|TOR3A|ACAT1|MCM4|SLC20A1
89,0.0097,0.0127,-0.0,-0.002999999999999999,True,False,COL11A1|ACKR4|PTPN21|PCDH17|SRMS|KRAS|PSD|SCNM1,MEOX1|DPEP1|KIF23|C9orf116|DNAJB4|KRAS|PSD|ACAA2
90,0.0128,0.016,-0.0,-0.0031999999999999997,True,False,EMCN|CST2|BAK1|PPARGC1A|SEC24D|PSENEN|FASTKD1|CREB3L4,MAMLD1|BAK1|CST2|ARHGEF15|FBXL16|SCG2|CATSPER3|CENPB
93,0.0075,0.0088,-0.0,-0.0013000000000000008,True,False,CXCL12|P4HA3|GTF3C1|IL21R|MFN2|KRTAP13-4|SEMA3B|VEGFA,KRTAP13-4|CST2|SH3D19|CLEC5A|LSM1|MAD2L2|NDUFS4|BRI3BP
91,0.0084,0.0067,-0.0,0.0016999999999999993,False,False,ANGPTL2|PLPP4|PIF1|SLC44A4|PDHA1|MAP1LC3C|NUP85|FCGR1A,IRX6|PLPP4|PIF1|GTF3C1|ZNF423|IRF7|UBE2Q1|PPP2R3C
92,0.011,0.0167,-0.0,-0.0057,True,False,IRAG1|C3orf80|SLC16A7|CRYBG2|MTHFD2|TSPAN13|PMP2|DNAI2,MYOC|MATN3|CTTNBP2|GTF3C1|SGCB|C3orf80|PMP2|RHBDF2
94,0.0096,0.0172,-0.0,-0.007600000000000001,True,False,MATN3|MSRB3|SLC20A1|EIF4E3|RNF126|PARP1|SP7|GPR135,MYOC|MATN3|MSRB3|KCTD5|IL21R|OR51E1|EIF4E3|ASPN
95,0.0098,0.0138,-0.0,-0.004,True,False,LOXL1|LMOD1|KCTD13|LCAT|PSPH|GJB2|GAPT|PEAR1,AC026316.4|TPRN|LMOD1|KLK4|PSPH|MT-ND3|CRABP2|TAGLN2
96,0.0092,0.0144,-0.0,-0.0052,True,False,MFAP2|NDN|MTHFD2|CBX4|NLRX1|CCDC185|KCNK7|HMX2,LRRC3B|MFAP2|TUBB6|VANGL1|COL6A6|CBX4|TEF|SNX20
97,0.0154,0.0206,-0.0,-0.0052,True,False,FERMT2|FAP|PARP1|CCDC69|ADAM19|FBXO46|TRIM23|LSM1,AC026316.4|RTN4RL2|MTURN|SLC20A1|CFD|BAALC|PSAT1|CARD11
98,0.0083,0.0154,-0.0,-0.0071,True,False,INHBA|GAS1|PIMREG|TPRN|ELK1|CCL11|CSN2|LBX2,WSCD2|INHBA|TMEM145|CCDC137|CCL11|CYP4F12|ELK1|LGMN
99,0.0082,0.0191,-0.0,-0.010899999999999998,True,False,PRDX4|ANXA9|MAP1LC3B|CST1|CLEC11A|RRM2|FBXO46|AADACL3,MEOX1|CBX4|CST1|AURKA|MAP1LC3B|CA12|CHFR|FXR2
100,0.0155,0.0223,-0.0,-0.0068000000000000005,True,False,FOXP3|SIRPA|DAAM2|C11orf24|IQCD|IRF7|CSN2|CES1,CBX7|PRRT3|HOGA1|DPP9|GFRA3|FOXP3|PMP2|BCL9
