trial,pairs_cond_entropy,singles_cond_entropy,full_singles_cond_entropy,difference,pairs_better_than_sampled,pairs_better_than_full,pairs_features,singles_features
CONFIG,k=8,n_samples=1000,0.0321,H(Y)=0.4252,features=1881,trials=100,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-3677|hsa-mir-6883|hsa-mir-335,FULL_DATA_SINGLES_FEATURES
39,0.0309,0.0359,0.0321,-0.005000000000000001,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-196a-1|hsa-mir-452|hsa-mir-130a|hsa-mir-142|hsa-mir-138-2|hsa-mir-6513,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-142|hsa-mir-335|hsa-mir-6883|hsa-mir-200c
38,0.0327,0.0436,0.0321,-0.0109,True,False,hsa-mir-182|hsa-mir-21|hsa-mir-1301|hsa-mir-190b|hsa-mir-200c|hsa-mir-486-1|hsa-mir-193a|hsa-mir-2114,hsa-mir-1247|hsa-mir-21|hsa-mir-182|hsa-mir-142|hsa-mir-145|hsa-mir-200c|hsa-mir-486-1|hsa-mir-193a
40,0.0411,0.0426,0.0321,-0.0015000000000000013,True,False,hsa-mir-1301|hsa-mir-378a|hsa-mir-10b|hsa-mir-196a-2|hsa-mir-155|hsa-mir-495|hsa-mir-3127|hsa-mir-514a-3,hsa-mir-1247|hsa-mir-196a-2|hsa-mir-335|hsa-mir-142|hsa-mir-182|hsa-mir-145|hsa-mir-378a|hsa-mir-942
41,0.0328,0.0395,0.0321,-0.006699999999999998,True,False,hsa-mir-182|hsa-mir-21|hsa-mir-10b|hsa-mir-342|hsa-mir-196a-1|hsa-mir-3065|hsa-mir-659|hsa-mir-6717,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-10b|hsa-mir-3065|hsa-mir-142
43,0.0206,0.0457,0.0321,-0.025099999999999997,True,True,hsa-mir-10b|hsa-mir-378c|hsa-mir-155|hsa-mir-196a-1|hsa-mir-142|hsa-mir-328|hsa-let-7f-2|hsa-mir-221,hsa-mir-139|hsa-mir-183|hsa-mir-193a|hsa-mir-196a-1|hsa-mir-142|hsa-mir-184|hsa-mir-144|hsa-mir-200c
42,0.0385,0.038,0.0321,0.0005000000000000004,False,False,hsa-mir-1301|hsa-mir-378a|hsa-mir-10b|hsa-mir-196a-1|hsa-mir-1271|hsa-mir-378c|hsa-mir-342|hsa-mir-651,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-335|hsa-mir-3677|hsa-mir-10a|hsa-mir-378c|hsa-mir-342|hsa-mir-526b
44,0.0412,0.0401,0.0321,0.0011000000000000038,False,False,hsa-mir-337|hsa-mir-493|hsa-mir-142|hsa-mir-190b|hsa-mir-335|hsa-mir-7705|hsa-mir-153-2|hsa-mir-22,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-335|hsa-mir-10a|hsa-mir-142|hsa-mir-103a-1|hsa-mir-770|hsa-mir-216a
45,0.0316,0.04,0.0321,-0.008399999999999998,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-10b|hsa-mir-342|hsa-mir-196a-1|hsa-mir-378c|hsa-mir-219a-1|hsa-mir-658,hsa-mir-139|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-10b|hsa-mir-196a-1|hsa-mir-4724|hsa-mir-5681b
46,0.0355,0.036,0.0321,-0.0005000000000000004,True,False,hsa-mir-1301|hsa-mir-378a|hsa-mir-328|hsa-mir-33b|hsa-mir-214|hsa-mir-676|hsa-mir-153-1|hsa-mir-629,hsa-mir-183|hsa-mir-378a|hsa-mir-155|hsa-mir-145|hsa-mir-196a-2|hsa-mir-592|hsa-mir-328|hsa-mir-3652
47,0.0336,0.0488,0.0321,-0.015200000000000005,True,False,hsa-mir-10b|hsa-mir-378c|hsa-mir-142|hsa-mir-196a-1|hsa-mir-182|hsa-mir-676|hsa-mir-513c|hsa-mir-934,hsa-mir-139|hsa-mir-182|hsa-mir-142|hsa-mir-6892|hsa-mir-103a-1|hsa-mir-1468|hsa-mir-132|hsa-mir-561
48,0.0249,0.0408,0.0321,-0.015900000000000004,True,True,hsa-mir-182|hsa-mir-21|hsa-mir-196a-1|hsa-mir-33b|hsa-mir-130a|hsa-mir-155|hsa-mir-4788|hsa-mir-7702,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-21|hsa-mir-182|hsa-mir-342|hsa-mir-335|hsa-mir-1301|hsa-mir-486-2
49,0.0418,0.0403,0.0321,0.0014999999999999944,False,False,hsa-mir-142|hsa-mir-511|hsa-mir-10a|hsa-mir-378c|hsa-mir-1247|hsa-mir-196a-1|hsa-mir-320a|hsa-mir-335,hsa-mir-1247|hsa-mir-196a-1|hsa-mir-335|hsa-mir-3677|hsa-mir-10a|hsa-mir-378c|hsa-mir-5187|hsa-mir-1305
50,0.0395,0.0466,0.0321,-0.007100000000000002,True,False,hsa-mir-1301|hsa-mir-378a|hsa-mir-328|hsa-mir-33b|hsa-mir-196a-1|hsa-mir-486-2|hsa-mir-128-2|hsa-mir-378c,hsa-mir-183|hsa-mir-378a|hsa-mir-6892|hsa-mir-1301|hsa-mir-184|hsa-mir-676|hsa-mir-107|hsa-mir-548ao
