n_features,k,n_samples,sample_id,difference
7,6,500000,289051,0.01
7,6,500000,289162,0.02
7,6,500000,289286,0.01
7,6,500000,289436,0.0099999999999999
7,6,500000,291889,0.01
7,6,500000,292687,0.0099999999999999
7,6,500000,293384,0.0099999999999999
7,6,500000,293959,0.0099999999999999
7,6,500000,294039,0.0099999999999999
7,6,500000,295678,0.01
7,6,500000,298911,0.03
7,6,500000,300179,0.01
7,6,500000,300335,0.01
7,6,500000,301421,0.01
7,6,500000,301852,0.01
7,6,500000,303326,0.0099999999999999
7,6,500000,303920,0.03
7,6,500000,304716,0.0099999999999999
7,6,500000,304884,0.01
7,6,500000,304898,0.0099999999999999
7,6,500000,306040,0.02
7,6,500000,308863,0.0099999999999999
7,6,500000,309149,0.0099999999999999
7,6,500000,310236,0.04
7,6,500000,310585,0.0099999999999999
7,6,500000,311412,0.01
7,6,500000,313249,0.01
7,6,500000,313470,0.01
7,6,500000,313593,0.01
7,6,500000,313789,0.01
7,6,500000,314206,0.0099999999999999
7,6,500000,314280,0.0099999999999999
7,6,500000,314815,0.01
7,6,500000,316790,0.01
7,6,500000,317584,0.0099999999999999
7,6,500000,318574,0.0099999999999999
7,6,500000,318894,0.0099999999999999
7,6,500000,320944,0.01
7,6,500000,321510,0.0099999999999999
7,6,500000,321642,0.01
7,6,500000,322475,0.02
7,6,500000,323385,0.0099999999999999
7,6,500000,325560,0.01
7,6,500000,327604,0.01
7,6,500000,330963,0.01
7,6,500000,331217,0.0099999999999999
7,6,500000,332442,0.0099999999999999
7,6,500000,334715,0.01
7,6,500000,335286,0.01
7,6,500000,335777,0.0099999999999999
7,6,500000,335991,0.01
7,6,500000,338232,0.01
7,6,500000,338950,0.01
7,6,500000,339739,0.01
7,6,500000,340193,0.01
7,6,500000,342485,0.01
7,6,500000,342670,0.0099999999999999
7,6,500000,343105,0.0099999999999999
7,6,500000,343533,0.01
7,6,500000,345095,0.0099999999999999
7,6,500000,345967,0.01
7,6,500000,347050,0.0199999999999999
7,6,500000,347114,0.0099999999999999
7,6,500000,347124,0.01
7,6,500000,347595,0.01
7,6,500000,348932,0.01
7,6,500000,348951,0.0199999999999999
7,6,500000,350710,0.0099999999999999
7,6,500000,351677,0.01
7,6,500000,351755,0.0099999999999999
7,6,500000,352038,0.01
7,6,500000,352560,0.0099999999999999
7,6,500000,353188,0.0099999999999999
7,6,500000,354455,0.01
7,6,500000,355711,0.01
7,6,500000,355794,0.01
7,6,500000,357339,0.01
7,6,500000,357396,0.01
7,6,500000,358027,0.0099999999999999
7,6,500000,358465,0.0099999999999999
7,6,500000,358705,0.01
7,6,500000,360979,0.01
7,6,500000,362383,0.0099999999999999
7,6,500000,363012,0.0099999999999999
7,6,500000,363976,0.0099999999999999
7,6,500000,365050,0.0199999999999999
7,6,500000,365155,0.01
7,6,500000,365680,0.01
7,6,500000,365738,0.01
7,6,500000,365915,0.0099999999999999
7,6,500000,367846,0.01
7,6,500000,368044,0.01
7,6,500000,372150,0.01
7,6,500000,373878,0.0099999999999999
7,6,500000,374220,0.03
7,6,500000,374942,0.01
7,6,500000,376772,0.01
7,6,500000,378246,0.01
7,6,500000,378427,0.01
7,6,500000,378439,0.0099999999999999
7,6,500000,379993,0.0099999999999999
7,6,500000,380759,0.01
7,6,500000,382125,0.0099999999999999
7,6,500000,382792,0.03
7,6,500000,383079,0.01
7,6,500000,383262,0.0099999999999999
7,6,500000,383983,0.01
7,6,500000,384170,0.01
7,6,500000,385716,0.01
7,6,500000,387368,0.01
7,6,500000,388238,0.0099999999999999
7,6,500000,388442,0.01
7,6,500000,389276,0.0199999999999999
7,6,500000,390435,0.01
7,6,500000,390476,0.0099999999999999
7,6,500000,391185,0.01
7,6,500000,391224,0.01
7,6,500000,391274,0.01
7,6,500000,392911,0.0099999999999999
7,6,500000,393029,0.01
7,6,500000,393044,0.02
7,6,500000,393171,0.01
7,6,500000,394650,0.01
7,6,500000,394778,0.01
7,6,500000,396017,0.0199999999999999
7,6,500000,396581,0.0099999999999999
7,6,500000,397703,0.0099999999999999
7,6,500000,397901,0.0099999999999999
7,6,500000,398515,0.0099999999999999
7,6,500000,400291,0.0099999999999999
