n_features,k,n_samples,sample_id,difference
7,6,10000,1159,0.06999999999999998
7,6,10000,1163,0.03
7,6,10000,1164,0.02999999999999997
7,6,10000,1174,0.08000000000000002
7,6,10000,1177,0.04999999999999999
7,6,10000,1180,0.03
7,6,10000,1183,0.010000000000000009
7,6,10000,1187,0.04000000000000001
7,6,10000,1189,0.009999999999999995
7,6,10000,1191,0.04000000000000001
7,6,10000,1192,0.010000000000000009
7,6,10000,1194,0.010000000000000009
7,6,10000,1195,0.01999999999999999
7,6,10000,1199,0.07
7,6,10000,1204,0.06
7,6,10000,1207,0.06
7,6,10000,1209,0.04999999999999999
7,6,10000,1217,0.03
7,6,10000,1219,0.04999999999999999
7,6,10000,1221,0.010000000000000009
7,6,10000,1224,0.07999999999999999
7,6,10000,1226,0.01999999999999999
7,6,10000,1229,0.12000000000000001
7,6,10000,1230,0.09
7,6,10000,1231,0.1
7,6,10000,1233,0.010000000000000009
7,6,10000,1235,0.07999999999999999
7,6,10000,1236,0.04999999999999999
7,6,10000,1242,0.1
7,6,10000,1245,0.05000000000000002
7,6,10000,1251,0.04000000000000001
7,6,10000,1258,0.020000000000000018
7,6,10000,1260,0.07
7,6,10000,1264,0.020000000000000018
7,6,10000,1268,0.04000000000000001
7,6,10000,1269,0.07
7,6,10000,1271,0.06
7,6,10000,1280,0.01999999999999999
7,6,10000,1284,0.020000000000000004
7,6,10000,1288,0.010000000000000009
7,6,10000,1289,0.06
7,6,10000,1290,0.10999999999999999
7,6,10000,1291,0.05
7,6,10000,1293,0.02
7,6,10000,1294,0.03
7,6,10000,1296,0.05000000000000002
7,6,10000,1297,0.010000000000000009
7,6,10000,1301,0.03
7,6,10000,1303,0.06
7,6,10000,1305,0.06
7,6,10000,1306,0.03
7,6,10000,1309,0.06
7,6,10000,1310,0.08000000000000002
7,6,10000,1311,0.09000000000000002
7,6,10000,1312,0.04000000000000001
7,6,10000,1316,0.01999999999999999
7,6,10000,1318,0.010000000000000009
7,6,10000,1322,0.06
7,6,10000,1326,0.05000000000000002
7,6,10000,1328,0.010000000000000009
7,6,10000,1347,0.06
7,6,10000,1349,0.01999999999999999
7,6,10000,1350,0.03
7,6,10000,1353,0.010000000000000009
7,6,10000,1354,0.09
7,6,10000,1359,0.04999999999999999
7,6,10000,1360,0.04999999999999999
7,6,10000,1367,0.01999999999999999
7,6,10000,1368,0.020000000000000018
7,6,10000,1369,0.020000000000000018
7,6,10000,1372,0.020000000000000018
7,6,10000,1373,0.08
7,6,10000,1375,0.06
7,6,10000,1376,0.04000000000000001
7,6,10000,1377,0.03
7,6,10000,1383,0.08000000000000002
7,6,10000,1387,0.06
7,6,10000,1389,0.030000000000000027
7,6,10000,1390,0.03
7,6,10000,1391,0.01999999999999999
7,6,10000,1393,0.020000000000000018
7,6,10000,1397,0.07999999999999999
7,6,10000,1398,0.04999999999999999
7,6,10000,1400,0.03
7,6,10000,1401,0.12000000000000001
7,6,10000,1404,0.10999999999999999
7,6,10000,1405,0.04999999999999999
7,6,10000,1407,0.05000000000000002
7,6,10000,1412,0.07
7,6,10000,1413,0.08000000000000002
7,6,10000,1431,0.05
7,6,10000,1434,0.03999999999999998
7,6,10000,1436,0.04999999999999999
7,6,10000,1437,0.03
7,6,10000,1444,0.03
7,6,10000,1445,0.010000000000000009
7,6,10000,1447,0.009999999999999981
7,6,10000,1449,0.05000000000000002
7,6,10000,1451,0.07999999999999996
7,6,10000,1453,0.009999999999999995
7,6,10000,1454,0.01999999999999999
7,6,10000,1456,0.02999999999999997
7,6,10000,1460,0.05000000000000002
7,6,10000,1461,0.04999999999999999
7,6,10000,1465,0.03
7,6,10000,1467,0.010000000000000009
7,6,10000,1468,0.04000000000000001
7,6,10000,1470,0.03999999999999998
7,6,10000,1471,0.07999999999999999
7,6,10000,1472,0.03
7,6,10000,1473,0.01999999999999999
7,6,10000,1474,0.009999999999999995
7,6,10000,1477,0.010000000000000009
7,6,10000,1481,0.010000000000000009
7,6,10000,1483,0.06999999999999998
7,6,10000,1486,0.01999999999999999
7,6,10000,1492,0.07000000000000003
7,6,10000,1493,0.03
7,6,10000,1494,0.03
7,6,10000,1495,0.07
7,6,10000,1497,0.01999999999999999
7,6,10000,1498,0.01999999999999999
7,6,10000,1499,0.07
7,6,10000,1500,0.08
7,6,10000,1503,0.010000000000000009
7,6,10000,1504,0.01999999999999999
7,6,10000,1505,0.04000000000000001
7,6,10000,1506,0.04000000000000001
7,6,10000,1507,0.04000000000000001
7,6,10000,1512,0.010000000000000009
7,6,10000,1515,0.06
7,6,10000,1516,0.07
7,6,10000,1518,0.009999999999999981
7,6,10000,1522,0.03
7,6,10000,1524,0.14
7,6,10000,1527,0.04000000000000001
7,6,10000,1528,0.01999999999999999
7,6,10000,1530,0.06
7,6,10000,1532,0.05000000000000002
7,6,10000,1535,0.009999999999999981
7,6,10000,1536,0.08000000000000002
7,6,10000,1539,0.04999999999999999
7,6,10000,1541,0.03
